State,2018 Composite,2018 English,2018 Math,2018 Reading,2018 Science,2022 Composite,2022 English,2022 Math ,2022 Reading,2022 Science,RegionDROP,Region
Alabama ,19.1,18.9,18.3,19.6,19,18,17.3,17.4,18.5,18.2,South,South
Alaska ,20.8,19.8,20.6,21.6,20.7,20.4,19.3,20,21.4,20.4,West,West
Arizona ,19.2,18.2,19.4,19.5,19.2,18.4,17.3,18.5,18.8,18.5,West,West
Arkansas ,19.4,19.1,18.9,19.7,19.4,18.8,18.3,18.1,19.2,19.1,South,South
California ,22.7,22.5,22.5,23,22.1,26.5,26.9,25.6,27.3,25.8,West,West
Colorado ,23.9,23.9,23.2,24.4,23.5,23.2,23,22.4,24,23,West,West
Connecticut ,25.6,26,24.8,26.1,24.9,26.3,26.8,25.3,27.1,25.7,Northeast,Northeast
Delaware ,23.8,23.7,23.1,24.5,23.4,24.9,25.3,23.6,26.1,24.3,Northeast,Northeast
Florida ,19.9,19.2,19.3,21.1,19.5,19,18.5,18.4,20,18.8,South,South
Georgia ,21.4,20.9,20.7,22.1,21.2,21.6,21,20.8,22.5,21.5,South,South
Hawaii ,18.9,18.2,19,19.1,19,18.8,17.6,18.6,19.4,19.1,West,West
Idaho ,22.3,21.9,21.6,23.2,22.1,22.8,22.3,22.2,23.7,22.6,West,West
Illinois ,23.9,24.1,23.4,24.2,23.4,24.5,24.8,23.7,25.2,24,Midwest,Midwest
Indiana ,22.5,21.9,22.3,23.1,22.2,22.8,22.1,22.5,23.7,22.5,Midwest,Midwest
Iowa ,21.8,21,21.2,22.5,22,21.4,20.4,20.6,22.3,21.6,Midwest,Midwest
Kansas ,21.6,21,21.1,22.3,21.5,19.9,18.9,19.4,20.6,20.1,Midwest,Midwest
Kentucky ,20.2,19.9,19.7,20.8,20.1,18.6,17.8,18,19.2,18.7,South,South
Louisiana ,19.2,19,18.5,19.6,19.1,18.1,17.6,17.4,18.6,18.3,South,South
Maine ,24,23.8,23.6,24.7,23.4,25.1,25.2,23.7,26.2,24.6,Northeast,Northeast
Maryland ,22.5,22.1,22,23.1,22.2,24.4,24.6,23,25.4,23.9,Northeast,Northeast
Massachusetts ,25.5,25.5,25.2,25.9,24.7,26.5,26.6,25.6,27.3,25.8,20Northeast,Northeast
Michigan ,24.4,24.5,23.9,24.7,23.9,24.6,24.7,23.9,25.2,24.2,21Midwest,Midwest
Minnesota ,21.3,20.2,21.4,21.7,21.4,21,19.7,20.7,21.7,21.4,22Midwest,Midwest
Mississippi ,18.6,18.2,18.1,18.9,18.6,17.8,17.2,17.4,18.2,18,23South,South
Missouri ,20,19.5,19.7,20.5,20,20.2,19.5,19.5,21,20.4,24Midwest,Midwest
Montana ,20,18.7,19.9,20.7,20,19.3,18,19,20.1,19.5,25West,West
Nebraska ,20.1,19.4,19.8,20.4,20.1,19.4,18.6,19.1,19.8,19.6,26Midwest,Midwest
Nevada ,17.7,16.6,17.8,18,17.9,17.3,16.1,17.1,17.8,17.6,27West,West
New Hampshire ,25.1,25.1,24.7,25.6,24.4,25.7,25.7,25,26.5,25.2,28Northeast,Northeast
New Jersey ,23.7,23.8,23.6,24,23,24.6,24.9,23.9,25.1,24,29Northeast,Northeast
New Mexico ,19.4,18.3,19.1,20.1,19.7,19.8,18.7,19.1,20.9,20.1,30West,West
New York ,24.5,24.2,24.2,24.9,24.2,25.3,25.2,24.6,26,25,31Northeast,Northeast
North Carolina ,19.1,18,19.3,19.5,19.2,18.5,17.1,18.5,19.2,18.8,32South,South
North Dakota ,20.3,19.1,20.3,20.7,20.5,19.2,17.9,19.1,19.7,19.6,33Midwest,Midwest
Ohio ,20.3,19.3,20.3,20.8,20.4,19.4,18.2,19.2,20,19.7,34Midwest,Midwest
Oklahoma ,19.3,18.4,18.8,20.1,19.4,17.9,17,17.3,18.6,18.2,35South,South
Oregon ,21.3,20.6,20.9,21.9,21.1,23,22.5,22,24.2,22.8,36West,West
Pennsylvania ,23.5,23.3,23.2,24,23.1,24.4,24.3,23.7,25.2,24,37Northeast,Northeast
Rhode Island ,24.2,24.4,23.6,25,23.5,25.2,25.3,24,26.2,24.7,38Northeast,Northeast
South Carolina ,18.3,17.3,18.2,18.6,18.5,18.9,17.8,18.5,19.6,19.1,39South,South
South Dakota ,21.9,20.8,21.6,22.4,22.2,21.5,20.5,21.2,22.2,21.7,40Midwest,Midwest
Tennessee ,19.6,19.4,19.1,19.9,19.6,18.6,18,18.1,19,18.6,41South,South
Texas ,20.6,19.6,20.6,21.1,20.8,19.8,18.7,19.5,20.4,19.9,42South,South
Utah ,20.4,19.7,19.9,20.9,20.5,19.9,18.9,19.4,20.6,20.2,43West,West
Vermont ,24.1,23.9,23.4,24.9,23.8,23.7,23.4,22.4,25,23.5,44Northeast,Northeast
Virginia ,23.9,23.8,23.3,24.7,23.5,24.6,24.6,23.5,25.7,24.3,45South,South
Washington ,22.2,21.4,22.2,22.7,22,24.6,24.3,23.6,25.6,24.3,46West,West
West Virginia ,20.3,19.8,19.4,21.3,20.4,20.5,20.2,19.4,21.4,20.4,47South,South
Wisconsin ,20.5,19.8,20.3,20.6,20.8,19.4,18.3,19.3,19.7,19.8,48Midwest,Midwest
Wyoming ,20,19,19.7,20.6,20.3,19.2,18.1,18.9,20,19.5,49West,West
